,Año,Trimestre,Provincia,Accesos por cada 100 hogares
780,2014,3,Mendoza,32
781,2014,3,Misiones,24
782,2014,3,Neuquén,56
783,2014,3,Río Negro,46
784,2014,3,Salta,29
785,2014,3,San Juan,28
786,2014,3,San Luis,10
787,2014,3,Santa Cruz,28
788,2014,3,Santa Fe,49
789,2014,3,Santiago Del Estero,16
790,2014,3,Tierra Del Fuego,66
791,2014,3,Tucumán,34
792,2014,2,Buenos Aires,55
793,2014,2,Capital Federal,113
794,2014,2,Catamarca,25
795,2014,2,Chaco,21
796,2014,2,Chubut,41
797,2014,2,Córdoba,53
798,2014,2,Corrientes,23
799,2014,2,Entre Ríos,35
800,2014,2,Formosa,18
801,2014,2,Jujuy,19
802,2014,2,La Pampa,50
803,2014,2,La Rioja,16
804,2014,2,Mendoza,32
805,2014,2,Misiones,23
806,2014,2,Neuquén,51
807,2014,2,Río Negro,45
808,2014,2,Salta,29
809,2014,2,San Juan,28
810,2014,2,San Luis,10
811,2014,2,Santa Cruz,29
812,2014,2,Santa Fe,48
813,2014,2,Santiago Del Estero,17
814,2014,2,Tierra Del Fuego,64
815,2014,2,Tucumán,34
816,2014,1,Buenos Aires,55
817,2014,1,Capital Federal,112
818,2014,1,Catamarca,24
819,2014,1,Chaco,21
820,2014,1,Chubut,41
821,2014,1,Córdoba,53
822,2014,1,Corrientes,22
823,2014,1,Entre Ríos,34
824,2014,1,Formosa,17
825,2014,1,Jujuy,18
826,2014,1,La Pampa,48
827,2014,1,La Rioja,16
828,2014,1,Mendoza,32
829,2014,1,Misiones,23
830,2014,1,Neuquén,50
831,2014,1,Río Negro,45
832,2014,1,Salta,29
833,2014,1,San Juan,28
834,2014,1,San Luis,9
835,2014,1,Santa Cruz,29
836,2014,1,Santa Fe,48
837,2014,1,Santiago Del Estero,16
838,2014,1,Tierra Del Fuego,64
839,2014,1,Tucumán,33
